text,status
ไม่มีสัจจะในหมู่คนเลวนะอีหนู,0
ถนนเหี้ยอะไรเนี่ย เหม็นควันรถฉิบหาย ไอ้สัตตะหมา,1
อย่าเอาความเสมอภาคทางเพศมาพูดถ้ายังจะเหยียดผู้หญิงอยู่แบบนี้ เสนียดชิบหาย,1
พอหลุดจากการจราจรมาได้ มาเดินเล่นแถวซอยอารีซึ่งต้นไม้เยอะมาก การที่ฝนตกเช้านี้ก็ไม่ทุเรศจนเกินไป,0
ล่าสุด คนที่ฟิต เรียกกะหรี่แล้ว ความก้าวหน้าทางความแรด ช่างกว้างขวาง,1
ถ้าถามว่าเกลียดมึงขนาดไหน ก็จะตอบว่า ถ้ากุมียาฆ่าแมลงอยู่ในมือ แล้วเจอมึงกับแมลงสาบ กูจะฉีดยาฆ่าแมลงใส่หน้ามึงอ่ะค่ะ บาย,1
อีฉิบหาย อยู่ไม่ไหว เดี๋ยวมาใหม่,0
อิสัสร้อน หัวร้อนมาก เหมือนมาเสือกเรื่องบ้านกุไปบอกคนอื่น เพื่อควยไร สนุกมากมั้ย ควย,1
ยิ่งโตยิ่งเชื่อในประโยคที่ว่า โลกแม่งจะสอนให้เราเลวขึ้น,0
เห็นแก่ตัวอีหน้าด้านกุเกลียดมึงที่สุดดคนเหี้ยๆคิดจะหาแต่ผลประโยชน์ สมองตัวเองหัดใช้สะมั่ง ภูมิใจต่อไปเนอะอีกวง,1
ทำไมพาดหัวข่าวแบบนี้ ต่ำ ไร้จรรยาบรรณ URL,1
แค่เจอเศษขยะละเผลอเตะมันและล้มลง แค่นั้น รู้ตัวแล้วว่าแค่ขยะสวะ ก็ลุกขึ้ดปัดๆสบัดๆละไปต่อ เชิ่ดๆคะ,1
กี่รัฐบาลผ่านมา การจัดการน้ำก็เหี้ยเหมือนเดิม จริงๆมีตัวอย่างจากรฐบ ก่อนก็ควรปรับปรุงให้มันดีขึ้นป่ะ นี่ซ้ำรอยเดิม ย่ำอยู่ที่เดิม ควย,1
หอยไม่สวยควยไหนจะใส่ URL,1
โกงมันทุกดอกทุกทาง มึงไปแข่งกันเอง ชิงกันเองเลยไป๊ หัวร้อนโว้ย URL,1
ก็คุณก็รู้นิ ว่าถ้าจ่ายเต็มเค้าก็ทำให้คุณก่อน ส่วนเรื่องที่นั่งไม่มีที่ คุณก็ต้องไปบอก สตบเอง จะไปเที่ยวไล่คนซื้อโปรให้ลุกออกจากโต๊ะก็ทุเรศ,1
แต่ติดที่เขาไม่เอากูอะ เลยร่านต่อไป,0
เช้านี้เป็นอะไรวะ เจอแต่พวกน่าตบให้หายโง่ ทำตัวไร้สาระ ไม่ได้ดั่งใจก็ออกจากเกม มึงบ้าเปล่าเนี่ย เด็กเกรียนรึไงมึง,1
รู้มาตลอดว่ากดดันในการเปลี่ยนแนวเพลงแล้วฟคไม่โอเค แต่ไม่คิดว่าจะใช้วิธีนี้ ใจร้ายชิบหายอิดวกฟคหน้าหอย สาปแช่งมัน,1
คนนึงก็หน้าม่อคนนึงก็ร่าน เอาดิ,1
อย่ามาว่าเรดเป็นเหล้าไพร่นะ ไม่เคยเหล้าขาวยาดองล่ะสิ ว้าย URL,0
ครั้งแรกที่โดนตัดหน้าแย่งแท็กซี่แบบหน้าด้านๆ อยากเข้าไปกระชากแต่เดี๋ยวแท็กซี่ไม่รับ,0
รถไฟจีนนี่ก็เหี้ย ล่าสุดจีนบังคับให้ใช้สถาปนิกตัวเอง แต่ไม่ยอมให้สถาปนิกมาสอบวัดความรู้ของทางไทย รัฐบาลไทยก็เสือกยอม หัวควยจริงๆ สัสนายก,1
ทวิตแม่งร้อนขึ้นทุกวัน เดือดปุดๆ เกิดมาไม่เคยเจอเลวมาก ติ่งแม่งเฮงซวยต้องด่าเป็นภาษาตปท Hang suay,1
โลกจะสอนให้เราตกหลุมรักคนเลวๆ มองความห่าเหวเป็นสิ่งสวยงาม,0
สันดานทุเรศเก็บไว้ใช้กับคนที่มึงรับได้เหอะนะ กราบ,1
โกงแล้วประเทศชาติเจริญก็ดี อีดอกก กูขอถ่มน้ำลายใส่ประโยคนี้ สุดท้ายก็โกงมั้ยวะ ประเทศชาติถ้าจะเอาคนโกงมาบริหาร ยังไงก็ไม่เจริญ,1
เราเป็นผู้แพ้ ยอมแพ้แล้ว เมื่อแพ้เราเจ็บ และที่เจ็บกว่านั้นคือถูกมองว่าเป็นคนไร้ค่าไม่มีใครอยากยุ่งและคงกลัวว่าผู้แพ้คนนี้จะกลายเห็บหมัดเกาะ,0
ไอ้หอกนั่น ถ้าเจออีกทีจะด่าให้ลืมทางกลับบ้านเลย สัส หัวร้อน เกลียดชิบ ตายห่าไปซะ มึงมันไอ้ขยะสังคม,1
ทุกคนเริ่มจะประสาทกันไปใหญ่ละ เดี๋ยวก่อน เดี๋ยวกูได้เทแน่ ความประสาท และปัญญาอ่อนนี้,0
เชรี่ย ปัญญาอ่อนชิบหายย ง่อยหรอสัส ทำห่าไรไม่เป็นเลย,1
ทุกครั้งที่ทหารมา จะทิ้งหนี้ทิ้งขยะไว้บานเบอะ พอรัฐบาลเลือกตั้งมาก็ล้างขี้ล้างเยี่ยวเก็บขยะทิ้งจนหมด พอมีเงินเหลือบริหาร ทหารก็เข้ามีอีก,1
สวะสังคม เค้นเสียงหัวเราะก่อนจะแบกกระเป๋าสีดำใบใหญ่เดินออกไปหาเหยื่อระบายอารมณ์,0
แค่พูดถึงก็กลัวติดเสนียดจัญไร ท่ดๆ,1
หลานนางก็กรี่มากเลย เลยชี้หน้าด่าไป ผัวคนที่เท่าไหร่แล้วโทษที ปากดีเกินไปแล้วนะ อีไพร่,1
นักการเมืองสิจะบอกว่าใครได้ละ เรื่องชั่วๆเนี่ย URL,1
ขอให้ความรักมีแต่ความจัญไร ข้าวของชิบหายให้บัลลัยทุกอย่าง คาดหวังสิ่งไหน ขอให้มีแต่คนขัดขวางไอ่ชั่วไอ่เลวไอ่ควายก็ขอใฟ้มึงต้องตายอย่างหมาเลย,1
อนาคตอยู่ในมือคนใกล้ตาย ถูกชี้ทางโดยทัศนคติที่ต่ำกว่าไดโนเสาร์ บอกว่ากำลังช่วยเราอยู่ ห้ามให้เราคิดเอง ทำเอง,1
รกโลกไอ้สัด ขยะสังคม,1
เป็นข้อเตือนใจว่า อย่าเสือกเปิดทวิตตอนดึก ของกินเต็มเลยอีหอก,0
ดัดจริต ปิ้นป้อน กะล่อน ตอแหล,1
กูเสือกหมดแหละถ้ามันเป็นเรื่องของมึง,0
ถ้ามีตังซื้อตั๋วเครื่องบินไปร่วมกลุ่มกับพวกมุสลิมได้กูเอาชีวิตไปทิ้งล่ะควย,1
นี่ติดเหาจากเพื่อนตอนช่วงแบบป อ่ะ ไม่รู้แม่งอะไรนักหนา ใช้ชีวิตกับใบน้อยหน่า มะกรูด และหวีเสนียด,0
พน กูจะกินเนื้อสัตว์เเม่งทั้งวันเลย,0
ก็รู้นี่ว่าตัวเอง 'อคติ' แต่ก็ยังพ่นคำโง่ๆ ออกมาให้คนอื่นเขารู้ถึงวุฒิภาวะ ที่'ต่ำ'เตี้ยเรี่ยดินออกมาประจานตัวเองอ่ะคนเรา,1
มึงก็ชอบทุกคนแหละอีร่านทำไมมาเปง,1
เด็กเวร ตายไปเกิดเป็นเปรตยังน้อยไป มึงอะ,1
เหมาะเจาะเนาะมรึง หอยแครงไม่สุกเอ๊ย,0
นี่ฉีดไล่ปลวกหรือไล่คนอ่ะ เหม็นโว้ย,0
ก่อนจะบอกให้คนอื่นหยุดดัดจริตเนี่ยะ มันต้องตัวเองหยุดก่อนป่ะวะ,1
บางทีก็แยกไม่ออกระหว่าง อัธยาศัยดี หรือ แรด,1
เทคนิคการลดความอ้วนหรอ ตัดลิ้นมึงทิ้งอีควาย,1
โครตเหี้ย โครตผี โอ้ยย ปวดประสาทกับอีพวกนี้ปัญญาอ่อนเหี้ยๆ แพ้แล้วก็ทำวิธีพวกแพ้ต่อไป เจริญจ้า,1
จะแคปเหี้ยไรนักหนาก็แคปไป แต่มึงช่วยปิดเสียงได้ไหม รำคาญญ ไอหอกหักคาหัว,1
แต่ก่อนด่าชนชั้นสังคมไทยนักหนา มาวันนี้ยกอิปูเป็นอีลีท อีโง่อย่างมันไม่ต่างจากอีไพร่อย่างเมิงหรอก อินกแสก,1
เขียนข่าวเหี้ยไปป่ะ คำว่า หน้าตาขี้เหร่อัปลักษณ์ปลวก นี่คือไรวะ เขียนถึงหน้าตัวเองอยุ่เหรอ ประสาท,1
ยังคงไม่มีใครมาหยุดความร่านในตัวกูได้,0
เป็นไรมากป่ะอีสัด,0
บางทีก็จอดรถทุเรศไปนะ ปิดทางเข้ามากูหมด บ้านตัวเองไม่จอด คือ,1
อี Taxi อีหอย นี่อุตส่าห์เดินไปหลังห้างเพื่อให้มันไปทางหลังห้าง นี่คุยโทรศัพท์อยู่ เงยหน้ามาแม่งอ้อมมาออกหน้าห้าง อีผีบ้า ต้องกลับรถเป็นกิโล,1
อาหารรสชาติไพร่มากแต่เสือกขายแพงบอกเฮลตี้ๆอีเหี้ย,1
ในขณะที่กุมาทำงานข้างนอก เลขานายผญ โทรมาประหนึ่งว่ากุทำงานพลาด หอกไปดูก่อนไหมเรื่องงานนาย กุรอบครอบเสมอ แล้วบอกว่าไม่ได้ดู แต่เสนอหน้า สัส,1
เกิดชาติหน้าฉันใดจงเป็นสัตว์อยู่ในป่าลึก มีอิสระเสรี อย่ามาเป็นสัตว์เลี้ยงที่ต้องอยู่ในกรงเลย URL,0
คนหนึ่งอ่ะที่ไม่ชอบ คนที่หัวร้อนมาก่อนแล้วมาลงใส่กู เอ้าอีสัด กูผิดเหรอ กูไปเผาบ้านมึงป่ะ หรือกูเป็นถังขยะมึง ก็ไม่หนิ,1
อีดอกตอแหลมึงไม่ใช่เพื่อน รำคาญ,1
ตรรกะอะไรคือคนปัญญาอ่อนวะ,0
มีใครจัดซีเกมส์ได้ห่วยและอุบาทว์กว่านี้อีกมั้ย,1
พวกที่บอกว่าไทยเป็นประเทศที่พูดความจริงไม่ได้ วิจารณ์ไม่ได้ เหอะๆ สัส กูขำ แล้วที่พวกมึงทำๆกันนี่เรียกอะไร ด่าในใจเหรออีดวก,1
อย่างน้อยช่วงเวลาที่เลวร้ายที่สุดในชีวิต มันทำให้เราได้เรียนรู้ว่าทุกปัญหามีทางออกเสมอ ไม่ว่าปัญหานั้นจะเล็กหรือใหญ่เพียงใด,0
ขอแค่เจอนะมึง อี่ชาติชั่ว ระย ควยำ,1
อ้าวไม่ใช่เพราะแรดเพื่อนเลยไม่คบหลอ บ้าจริง URL,1
ฉันเกิดมาเพื่อเป็นแมงดา,1
หน้าด้านมาร์คหน้า หลังจากไม่ได้ทำมานาน,0
เมื่อศาลชั่ว รัฐบาลเหี้ย ทหาร ตำรวจเลว ก็ใกล้ถึงเวลาประชาชนลุกขึ้นจับปืนสู้ เป็นกองกำลังปฎิวัติประชาชนเวเนซุเอลา URL,1
นั่งดูสารคดีสัตว์โลกกับลูก ก็เพลินๆดี ดูหมีควายตีลังกางี้ นกเป็ดน้ำแดกหอยเชอรี่ อีกาบินมาไวๆ เออกุดูเอาสาระหรือบันเทิงวะเนี่ย,0
สอนคนอื่นจนลืมสอนสันดานของตัวมึงเองพูดเหี้ยอะไรไม่เคยทำได้อย่างที่พูด สักว่าแต่พูดคิดเหี้ยไรได้ก็พูด แบบนี้เรียกว่าปากเหี้ยๆแดกหมาไปทั้งตัว,1
เบื่อตัวเองที่ชอบเป็นโรคบ้าซื้อเครื่องสำอางค์ ขนาดไปเซเว่นก็บ้าซื้อครีมซอง ผีบ้า,0
เน็ต bbหรือเน็ตอบต อีห่ากากชิบหาย,1
ฉันนินทามันและเจอ แต่เพื่อนนินทามัน ปากหมามากกว่าเราอี๊ก ไม่เจอ ภาษาผีเปนภาษาสากลเหรอ ฉันนินทามันเปนภาษาไทยนะ ก้บอกให้เพื่อนสวมพระเลย,0
อ้ายอีหน้าไหนเอาของกูไปใช้ ก่อให้เกิดความเดือดร้อนแก่ตัวกู กูขอสาปแช่งให้มึงพินาศฉิบหาย กรรมของมึงจะสนองแก่มึงชั่วกัปชั่วกัลป์ สันดาร,1
คนชั่ว ไม่กลัวบาปกรรม ขายศักดิ์ศรี เพื่อผลประโยชน์ ความสุข ความมั่งมีที่ได้นั้น มันคือของร้อนที่รอวันฉิบหาย,0
ปัญหาหลักๆมันคือ ไม่รู้ติดปัญหาหอกไร หรือไปเจอตอไร ประมูลรถเมล์ใหม่ ผ่านมาเป็นสิบปี ทุกขั๋วอำนาจ ก็ยังสามารถทำให้สำเร็จได้ ตลกดี,0
ชอบในความกาก ความเกรียน ความโกง ความเชี่ย ของมาเลจริง ด่าไปไม่สะเทือนเหมือนด่าใส่กำเเพง เหนื่อยจะด่ามันเหนือคำจะด่าเเล้วดอก,1
หูฟังพังข้างซ้ายตลอดเป็นหอยไร,0
จะไม่เปรียบมึงเหมือนหมา หรือด่ามึงว่าเหี้ย เพราะสัตว์สองชนิดนี้น่ารักกว่ามึง ทำแบบนี้ขอให้มันย้อนเข้าตัวคนที่มึงรักนะ อิสันขวาน,1
วิธีดักแมงดาคือ ทำเป็นพูดว่าจนๆ แล้วเค๊าจะตีจากไปเอง,0
ควายเหี้ยไร ตกลงกันแล้วป่ะ,1
ผังก็เหี้ย ราคาก็แย่ สิทธิ์ก็อุบาทว์ เอาใจช่วยนะคะ ขายได้อยู่แล้วแหละแต่กูจำ,1
เป็นเหี้ยไรมากมั้ยอ่ะ ว่าจะไม่หัวร้อน ว่าจะอยู่เฉยๆละ,0
บาปกรรม โชคชะตา มักจะเล่นกับคน อย่าง เล่นให้รวย แล้วก็เล่นให้ซวยฉิบหาย ผ่านมาแล้วย่อมรู้ดี,0
ปลวกมันก็มีสาระกับเขาเป็นด้วย หูว แซว,1
ประสบการณ์การยิงควายในวันนั้น ทำให้ยิงปืนเข้าเป้าในวันนี้ ฮี้ไๆ,0
ไม่มีปัญญาความสามารถเอาชนะ ก็ใช้วิธีเหี้ยๆแทน เปรต,1
เวรกรรมของลูกหลานกูจริงๆ ที่มีรัฐบาลที่บริหารงานไม่เป็นมาเป็นผู้นำ,1
ทักมาหาหอกอะไร พอกูตอบเสือกอ่านไม่ตอบ อีสัส,1
อีเหี้ย กุผิดสินะ กุต้องจ่ายทั้งๆที่กุสั่งอีกไซส์ ทั้งที่กุใส่ไม่ได้ จะให้เอาเสื้อมาดองปลวกหรอคะ,0
อยากใช้ชีวิตแบบไม่มีปัญหากับใครนี่ไม่ได้หรอวะ ชาติที่แล้วไปทำอะไรไว้ มีผีบ้าคอยหาเรื่องตลอดเลย,0
โอ๊ยย น่าสงสารมากอ่ะ ไม่ได้ชั่วโดยกำเนิด แต่ชั่วเพราะผู้เลี้ยงดู,0
สนุกจังโว้ย เวลาแช่งทีมอื่น,0
การเมืองนี่มันล้างสมองได้จริงๆ โคตรขยะ สวะทวิตเตอร์,1
เอาจริงนะ เป็นคนไม่ชอบดึงเห็บ เลี้ยงหมาจะป้องกันตลอด หยอดยาตามกำหนด น่ากลัวๆ URL,0
คนห่าไรจิตใจดีจังว้ะ พี่ตูน,0
เมื่อเช้าก็ควาย ตอนนี้ก็หมา ใครทำไรมึง URL,0
ไอสัสหัวเสียแต่ต้นเกม แม่งบอกบัตฝั่งนู่นแม่งเก่ง ดูบัตฝั่งเรากระจู๋หมา ห่าไร สัส เปนไงหล่ะตอนหลังกุคิลได้ มากกว่าพวกมึงตั้งเยอะ ควยย,1
คนที่ศีลธรรมวาสนาบารมีเสมอกันหรือเท่าเทียมกันจึงอยู่ร่วมกันได้ ส่วนพวกกระหรี่แมงดาก็เหมาะกันดีไร้ศีลธรรมพอๆกันค่ะ,1
สันดานไพร่จริงๆ ทั้งแม่ทั้งลูก,1
หลานรหัสสวยมากอ่ะ สวยแบบตายละ อยู่ใกล้น้องแล้วเสนียดตัวเองจะติดน้องมั้ย,0
หากไปสนามหลวง แล้วทุกคนพกถุงขยะไปคนละถุง ระหว่างเดินหรือรอคิว ก็เก็บขยะทุกชิ้นที่เจอ แบบนี้จะถือว่าเป็นไทย ไปเลย,0
อิเซเลปทวิตเห็บหมานั่นหลายรอบละนะ,1
ไม่มีใครดีที่สุด ไม่มีใครเลวที่สุด ถ้ายังรู้จักกันไม่ถึงที่สุด,0
เวลาเอาพิธีกรรมบ้าๆบอๆของวัดอื่นๆมาแซะ ถูกด่าว่าไปยุ่งกับความเชื่อ ศรัทธาคนอื่น แต่พอเอาของธรรมกายมาแซะบ้าง พวกมึงชอบใจ พุทธควยๆนี่หว่า,1
กินคาวไม่กินหวานสันดานไพร่ใช่ไหมคะ เราเลยจัดเค้กนมสดมาตบท้ายมื้อเย็นค่ะ,0
ไปเปนดาราไป ตอแหล ขนาดนี้ มอบมง อีดอก,1
ทำไมต้องมาฝันเหี้ยไรแบบนี้อะ ควย,0
ซ่อมยังไม่ผ่านยังมีหน้าไปแข่งบัญชี ซ่อมให้รอดก่อนมั้ย แล้วยังหน้าด้านได้รางวัลชมเชยอีกนะมึง คนที่เก่งกว่าแม่งไม่ได้อ่ะ โอ้ย,1
หน้าอย่างกับปลวก เก็บเงินพวกกูแพงไป มึงก็แพ้ ไม่ได้สำเนียกตัวเองเลย สัส,1
เช้านี้แดดเหี้ยมาก แดดร้อนแบบนี้ไม่ใช่ฝนตกตอนเย็นนะอีเหี้ยย,0
เจอแต่ทีมส้นตีนไรไม่รู้ จะไปตามไล่คิลทำไมไม่รู้ แม่ง ละกูวิ่งกันป้อมสามเลนอยู่คนเดียวอีเวร ปัญญาอ่อน,1
คนที่ด่าว่าเราโง่ ความจริง เค้าอาจจะโง่ กว่าเราก็ได้,0
ไอ้แมงดาเกาะแม่แดกเอ๊ย ไร้ราคา,1
ผช ที่เป็นแมงดามาเกาะผญ นี่เวรมาเกิดจริงๆ,1
เป็นเหี้ยไรมาด่ากูแรดอะ หลานมึงนู่นที่แรดร่านด้วยอีดอกทำสันดานเเต่เด็ก,1
นี่คือเกลียดจอฟไม่คิดตังค์มาก รำโว้ย กากแล้วยัง สมละ,1
ประเทศเหี้ยไรเนี่ย อยู่ๆก็ทะเลาะกันเรื่องซอส,0
พูดไปสองไพร่เบี้ยจริงๆ นิ่งไว้น่าจะดีกว่า ของแบบนี้มันอยู่ที่คน แม่งก็ได้แต่นั่งพิมคำปัญญาอ่อนๆ น่ารำคาญอ่ะ เสื่อมอย่าไปให้ค่า,1
ปวดขา ปวดตัว ปวดไปหมดเลยไอ้หอยแม่งเอ้ย,0
วินรถตู้ดอนเมืองสถุลจังหวะ,1
ผ่านไปเดือนนึงมึงจะบอกว่าโหลดไม่ได้เลยหรอ ประสาทสัส แม่งเง้ย ขอให้เน็ตมึงล่ม แคสเกมส์ไม่ได้ เล่นเกมส์อยู่ดีๆแล้วคอมดับ เน็ตไม่ติด เกลียด,1
เอาอีปลวกนี่มาเป็น พิธีกร รายการที่ขยะอยู่แล้วคราวนี้กลายเป็นรายการขยะแขยงเลย URL,1
หงุดหงิดไปหมด อีหอก มีเเต่จะให้ส่งไปให้ วันหลังมึงทำเองละเก็บไว้เองบ้างนะ สัส งานพรีกูก็นั่งทำพ้อยคนเดียวยังเรื่องมากอีก ควย,0
เราหมดประโยชน์แล้วก็เดินออกไปดีๆ อย่ามาเผยธาตุแท้ให้เห็น มันเสนียดลูกตา,1
เห็นแฟนเปลี่ยนสีผม นี่เลยไปทำสีบ้าง สีพลาดไปรอบนึงต้องแก้ใหม่ สุดท้ายสีที่ได้ก็ไม่ได้เลวร้ายอะไรนะ แค่ไม่ใช่สีที่เลือกไว้ตอนแรกแค่นั้น,0
ต้องดูอีกทีว่าเราเนี่ยคนชั่ว อยุ่ใกล้คนคิดบวกแล้วอึดอัด พี่ที่ทำงานเนี่ยแม่ชีมาก ส่วนนี่นางมารมาก ถึงกับอโหสิให้คิดดู,0
กลับมาโกงได้ไหมอยากให้ไทยเจริญเหมือนเมื่อก่อน ตอนนี้มีแต่พวกคนดีอยู่แต่ประเทศจะพังพินาศฉิบหายมีแต่พวกในกะลา URL,1
อิรถเมล์ที่สูบบุหรี่ในรถวันฝนตกนี่เมื่อไหร่มันจะตายว่ะ ถ้าไม่ตายกุจะช่วยแช่งมึงเอง อยากเอาบุหรี่จี้คอมึงจริงๆ,1
คนในทลตอนนี้ของฉันล้วนไปงานกัซกันทุกวัน ดูสิว่าต้องทนขนาดไหน อีเห้ อีเห็บหมา อดทนไว้ๆ,1
กฏหมายไทยปม่งไม่เคยศักดิ์สิทธิ์เลย ไหนอ้างมนุษยธรรม แล้วที่เกิดขึ้นนี่ฆ่ากันชิบหายวายวอด ไหนมนุษยธรรมของมึง ด่าไปก็ไร้ค่า,1
เออ เมื่อเช้าเห็นข่าวนี้หัวร้อนอะ เกินไปอะ พูดได้ทุเรศมากอะ,1
ถ้าพูดเรื่องสถานะเป็นรองแล้วพยายามถีบตัวเอง กูน่าจะเป็นชนชั้นไพร่ทาสที่ขี้เกียจอ่ะ แบบ เออ ทำเหี้ยไรก็เรื่องของมึง,0
เอาให้หยาบคายจริงๆคือแม่งโคตรหน้าด้าน ใครด่าก็ไม่สะท้าน บ้านไทยก็เคยพูดตรงๆจนบล็อกแม่งแล้วก็ยังด้านยังมึน,0
ลูกหมาเกรี้ยวกราดได้หลัวมากๆเลยอ่ะ ฮือ,0
ชีวิตเราก็อยู่ได้ด้วยมุขควายๆไรแบบนี้แหละ,0
เรื่องมาก ยุ่งยาก วุ่นวาย และเสือกสั่งงานไม่บอกรายละเอียดให้ดีอีก อีห่า,1
ควย อีเกมเหี้ย แดกแต่ตัง เดี๋ยวเวลตันกุจะเลิกเล่นละไอ้สัด เน็ต Gเสือกแลค มึงจะให้กุใช้เอดเล่นรึไงไอ้ห่า,1
มากินที่บ้านคนอื่น แล้วยังทำปากดีอีก ทำตัวเหมือนเปรตขอส่วนบุญแล้วยังไม่เลิกนิสัยสันดานเห่าหอนอีก ไม่คงไม่ใช่นิสัยสินะ เห็บไรไก่กา เกลียด,1
เหมือนกูจับดาบจับปืนแต่ไม่รู้จะฆ่าใครก่อนดี,0
สังคมดัดจริต หรือคนหน้าตาดีทำอะไรก็ไม่ผิด URL,0
ที่ทำแต่ละเรื่อง สถุลๆเหล่านั้นก็ไม่ใช่วัฒนธรรมของประเทศไหนเหมือนกันนะ,1
หลับหรือซ้อมตายวะ โอ้ยย บ้าจริงง,0
พัฒนาสายไฟ และการจราจรในกรุงเทพด้วยอีสัด,1
เคลียร์เครื่องเจอรูปเก่าๆ สัส น้ำตาไหลเหมือนจะตาย,0
ไม่ต้องหวีดแบบผัวไปฆ่าใครตายขนาดนั้น ฝัด,0
มนุษย์ป้าบนรถเมล์กวนส้นตีน กูจะสิงประตูอยู่ละจะให้ขยับเหี้ยไร พูดจาก็ทุเรศ จะรีบลงหาพ่องคนก็เยอะ จะขยับไปทางไหนอะอีเวร ให้สิงกับมึงเลยไหม,1
งานอ่ะ สนุก กุไม่ด่างานเลย แต่มึงอ่ะ ระยำ พวกมึงอ่ะ หัวควย,1
ก็หมาตัวไหนบอกไม่อยากเล่นฮีน พอกูมาฮีนมึงก็ไม่ปกป้องกูไอ้สัดยังมีหน้ามาด่ากูอีกพวกหน้าหี,1
ทำตัวยังกะเป็นแกนโลก สำคัญ หึ ต่ำ,1
คนแรงๆนี่ถ้าเราสนิท เราจะบอกว่าเป็นคนตรงๆ แต่ถ้าไม่สนิทหรืออยู่ฝ่ายตรงข้ามจะเรียกสถุล,0
ลุงแกทำปท ล่มจมไปถึงไหนละอะ เลือกตั้งอะเลือกตั้งอะอีสัสส หน้าด้านทำงานอยู่ได้อีผี,1
เป็นได้แค่ชู้ แค่ชู้ของเขา ให้คนเขาสมน้ำหน้า เป็นได้แค่หมาลักกัดไก่,0
ถ้าจะด่าก็ระบุชื่อมาสิคะ ไม่ได้ร้อนนะ แค่อยากเสือกด้วย,0
ทำไมวันนี้กูคันตีนจังหว่ะ สัส — รู้สึกโมโห,0
เพื่อนมาถามปุ๊บ ปลุกความให้ร้อนกูเลย ไม่อยากด่า ด่าไปก็เสียดายคำด่า ไม่อยากใช้เปลืองกับพวกสวะ,1
เกลียดการพูดปัดสวะให้พ้นตัวเบื่อมาก,0
คนอย่างมึงคือเกิดมาเพื่อขอเขาแดกอย่างเดียวรึไงให้ออกเงินหน่อยคือไม่เอาอย่างเดียว สันดาน,1
เธอเป็นคนดีนะ คนดีที่ดอกทอง,1
กองเชียร์พร้อม กองแช่งพร้อม,0
อิประเด็นฆ่าสัตว์เพื่อโพสต์อวดกันเนี่ยไม่เกี่ยวกับจนรวยนะ มันเกี่ยวกับสามัญสำนึก ความเลวความดีมึงล้วนๆ,0
บางทีเจ้าภาพแบบพวกซีเกมส์ เอเชี่ยนเกมส์ อาจจะลืม ไม่ได้คำนึงว่าจริงๆแล้วจปสของการจัดการแข่งขันคืออะไร จะเหี้ยแค่ไหนขอชนะไว้ก่อน งี้หรอ ห่วย,1
